0	49	2401
0	50	2500
0	47	2209
0	61	3721
0	52	2704
0	53	2809
0	54	2916
0	49	2401
0	58	3364
0	43	1849
0	51	2601
0	44	1936
0	48	2304
0	47	2209
0	50	2500
0	43	1849
0	48	2304
0	46	2116
0	48	2304
0	48	2304
0	48	2304
0	47	2209
0	47	2209
0	50	2500
0	56	3136
0	50	2500
0	44	1936
0	53	2809
0	43	1849
0	48	2304
0	56	3136
0	50	2500
0	53	2809
0	49	2401
0	45	2025
0	51	2601
0	42	1764
0	52	2704
0	48	2304
0	49	2401
0	46	2116
0	47	2209
0	45	2025
0	46	2116
0	48	2304
0	53	2809
0	43	1849
0	45	2025
0	47	2209
0	51	2601
0	57	3249
0	47	2209
0	46	2116
0	49	2401
0	45	2025
0	52	2704
0	45	2025
0	54	2916
0	46	2116
0	44	1936
0	50	2500
0	50	2500
0	48	2304
0	52	2704
0	47	2209
0	47	2209
0	45	2025
0	43	1849
0	48	2304
0	45	2025
0	47	2209
0	45	2025
0	51	2601
0	49	2401
0	48	2304
0	43	1849
0	42	1764
0	44	1936
0	48	2304
0	53	2809
0	47	2209
0	46	2116
0	55	3025
0	48	2304
0	48	2304
0	47	2209
0	51	2601
0	49	2401
0	48	2304
0	52	2704
0	49	2401
0	46	2116
0	52	2704
0	48	2304
0	50	2500
0	45	2025
0	48	2304
0	48	2304
0	45	2025
0	43	1849
0	46	2116
0	47	2209
0	46	2116
0	58	3364
0	49	2401
0	48	2304
0	43	1849
0	47	2209
0	55	3025
0	50	2500
0	44	1936
0	44	1936
0	44	1936
0	51	2601
0	43	1849
0	55	3025
0	42	1764
0	45	2025
0	48	2304
0	47	2209
0	42	1764
0	51	2601
0	50	2500
0	52	2704
0	50	2500
0	45	2025
0	56	3136
0	51	2601
0	47	2209
0	43	1849
0	51	2601
0	49	2401
0	49	2401
0	45	2025
0	45	2025
0	47	2209
0	51	2601
0	55	3025
0	50	2500
0	51	2601
0	42	1764
0	47	2209
0	50	2500
0	48	2304
0	52	2704
0	48	2304
0	45	2025
0	47	2209
0	40	1600
0	51	2601
0	48	2304
0	44	1936
0	46	2116
0	45	2025
0	52	2704
0	45	2025
0	51	2601
0	50	2500
0	48	2304
0	48	2304
0	44	1936
0	45	2025
0	45	2025
0	45	2025
0	53	2809
0	49	2401
0	46	2116
0	51	2601
0	42	1764
0	50	2500
0	42	1764
0	47	2209
0	45	2025
0	49	2401
0	47	2209
0	51	2601
0	50	2500
0	46	2116
0	52	2704
0	50	2500
0	58	3364
0	50	2500
0	45	2025
0	47	2209
0	51	2601
0	53	2809
0	44	1936
0	49	2401
0	46	2116
0	60	3600
0	42	1764
0	57	3249
0	48	2304
